, 0.1, 0.5, 0.9
125, 2.165367741935484, 1.500258064516129, 1.1012129032258064, 
150, 2.1037404921700222, 1.4987651006711409, 1.1003847874720358, 
175, 2.0566042692939246, 1.4996912972085386, 1.1000985221674877, 
200, 2.0229095477386934, 1.5008844221105528, 1.1002914572864322, 
