, 0.1, 0.5, 0.9
100, 2.2446262626262627, 1.501090909090909, 1.100828282828283, 
125, 2.1619612903225804, 1.5001032258064517, 1.1001548387096773, 
150, 2.1051185682326623, 1.5005727069351231, 1.1005190156599554, 
175, 2.058929392446634, 1.499192118226601, 1.0998095238095238, 
200, 2.0266231155778893, 1.4985175879396986, 1.0996984924623117, 
