num_stations, average_power, percent_connected,
2, 8.679618667387124E14, 0.162, 
3, 9.457360367857811E14, 0.064, 
4, 1.0463120538497688E15, 0.024, 
5, 1.1280827717206602E15, 0.02, 
6, 1.2371420942106255E15, 0.011, 
7, 1.3240753527220298E15, 0.011, 
8, 1.437234578905062E15, 0.01, 
9, 1.549488473172273E15, 0.014, 
10, 1.6951591908638848E15, 0.013, 
11, 1.7991569079989892E15, 0.019, 
12, 1.9295439622939132E15, 0.025, 
13, 2.024463603881983E15, 0.026, 
14, 2.1020310995162888E15, 0.03, 
15, 2.2437284519235615E15, 0.05, 
16, 2.307046045705905E15, 0.054, 
17, 2.447503521690502E15, 0.066, 
18, 2.4982295356416095E15, 0.078, 
19, 2.5548180281048505E15, 0.084, 
20, 2.6615352128825685E15, 0.11, 
21, 2.6511642947460815E15, 0.122, 
22, 2.6831923921138575E15, 0.126, 
23, 2.7430398299848215E15, 0.17, 
24, 2.765651126378558E15, 0.19, 
25, 2.741697599960582E15, 0.222, 
26, 2.750137232197879E15, 0.233, 
27, 2.7473166889236245E15, 0.279, 
28, 2.7335077758558275E15, 0.306, 
29, 2.712698786656866E15, 0.334, 
30, 2.6903979014464315E15, 0.38, 
31, 2.6950162675150685E15, 0.403, 
32, 2.6603094788507625E15, 0.451, 
33, 2.6364340703482705E15, 0.483, 
34, 2.6190966294843945E15, 0.517, 
35, 2.580186080904358E15, 0.541, 
36, 2.5526521385307665E15, 0.583, 
37, 2.5180791507398175E15, 0.577, 
38, 2.4965194409427865E15, 0.622, 
39, 2.464345038828107E15, 0.648, 
40, 2.4627812180612525E15, 0.69, 
41, 2.425860455640905E15, 0.691, 
42, 2.395718412686329E15, 0.702, 
43, 2.3888044283022285E15, 0.74, 
44, 2.3585653060759215E15, 0.746, 
45, 2.3307246376779105E15, 0.753, 
46, 2.311362595615913E15, 0.78, 
47, 2.300708221809196E15, 0.782, 
48, 2.2764388775194255E15, 0.795, 
49, 2.255655634751066E15, 0.814, 
50, 2.2390215224448205E15, 0.822, 
51, 2.2213305483302382E15, 0.824, 
52, 2.2011552622124992E15, 0.861, 
53, 2.186329173855525E15, 0.868, 
54, 2.173241356187392E15, 0.861, 
55, 2.15537423486098E15, 0.869, 
56, 2.1415494502251752E15, 0.871, 
57, 2.1266196672649345E15, 0.89, 
58, 2.1090083891988358E15, 0.891, 
59, 2.0989317043099272E15, 0.9, 
60, 2.0822005706431732E15, 0.915, 
61, 2.069788920710578E15, 0.912, 
62, 2.0586092488435748E15, 0.923, 
63, 2.0429588837293778E15, 0.931, 
64, 2.0314729368869025E15, 0.922, 
65, 2.0222894847737098E15, 0.933, 
66, 2.0090597843755458E15, 0.945, 
67, 1.9988433151420522E15, 0.939, 
68, 1.989055107078717E15, 0.943, 
69, 1.976858275506685E15, 0.94, 
70, 1.9688549291286142E15, 0.962, 
71, 1.957460677916253E15, 0.958, 
72, 1.946919559571477E15, 0.954, 
73, 1.93542196801713E15, 0.959, 
74, 1.9275201199776055E15, 0.965, 
75, 1.9185243925865048E15, 0.964, 
76, 1.9083848113510722E15, 0.957, 
77, 1.8993577692567312E15, 0.967, 
78, 1.8890260973300122E15, 0.965, 
79, 1.883451165580837E15, 0.975, 
80, 1.8739765375868888E15, 0.977, 
